Name,First_Name,Age,Hometown,Season,Race_Place,Special_Season
David Hernandez,David,29,"Los Angeles, California",Season 34,4th,
Luis Colon,Luis,34,"Miami, Florida",Season 34,3rd,
Michelle Burgos,Michelle,34,"Miami, Florida",Season 34,3rd,
Emily Bushnell,Emily,36,"Ardmore, Pennsylvania",Season 34,2nd,
Molly Sinert,Molly,36,"Palm Beach Gardens, Florida",Season 34,2nd,
Derek Xiao,Derek,24,"Los Angeles, California",Season 34,1st,
Claire Rehfuss,Claire,25,"Los Angeles, California",Season 34,1st,
Alexandra Lichtor,Alexandra,34,"Chicago, Illinois",Season 35,13th,
Sheridan Lichtor,Sheridan,29,"Chicago, Illinois",Season 35,13th,
Elizabeth Rivera,Elizabeth,52,"Tampa, Florida",Season 35,12th,
Iliana Rivera,Iliana,27,"Tampa, Florida",Season 35,12th,
Jocelyn Chao,Jocelyn,49,"Albuquerque, New Mexico",Season 35,11th,
Victor Limary,Victor,49,"Albuquerque, New Mexico",Season 35,11th,
Joe Moskowitz,Joe,35,"New York, New York",Season 35,10th,
Ian Todd,Ian,40,"New York, New York",Season 35,10th,
Liam Hykel,Liam,23,"Cheyenne, Wyoming",Season 35,9th,
Yeremi Hykel,Yeremi,24,"San Marcos, Texas",Season 35,9th,
Andrea Simpson,Andrea,44,"Philadelphia, Pennsylvania",Season 35,8th,
Malaina Hatcher,Malaina,45,"Philadelphia, Pennsylvania",Season 35,8th,
Morgan Franklin,Morgan,31,"Brooklyn, New York",Season 35,7th,
Lena Franklin,Lena,29,"Los Angeles, California",Season 35,7th,
Robbin Tomich,Robbin,41,"Kirkland, Washington",Season 35,6th,
Chelsea Day,Chelsea,41,"Shoreline, Washington",Season 35,6th,
Ashlie Martin,Ashlie,38,"Chino, California",Season 35,5th,
Todd Martin,Todd,38,"Chino, California",Season 35,5th,
Steve Cargile,Steve,54,"Petty, Texas",Season 35,4th,
Anna Leigh Wilson,Anna,28,"Royse City, Texas",Season 35,4th,
Rob McArthur,Rob,48,"Riverside, California",Season 35,3rd,
Corey McArthur,Corey,25,"New York, New York",Season 35,3rd,
Joel Strasser,Joel,42,"Kuna, Idaho",Season 35,2nd,
Garrett Smith,Garrett,43,"Meridian, Idaho",Season 35,2nd,
Greg Franklin,Greg,25,"New York, New York",Season 35,1st,
John Franklin,John,27,"Mountain View, California",Season 35,1st,
