,/occupation/occupation_name_short_singular,/occupation/quick_facts/qf_median_pay_annual/value,/occupation/what_they_do/section_body,/occupation/how_to_become_one/section_body,/occupation/summary_work_environment,/occupation/similar_occupations/section_body
146,Graphic Designer,58910.0,"Graphic designers create visual concepts, using computer software or by hand, to communicate ideas that inspire, inform, and captivate consumers. They develop the overall layout and production design for applications such as advertisements, brochures, magazines, and reports.  Meet with clients or the art director to determine the scope of a project  ",Graphic designers usually need a bachelor’s degree in graphic design or a related field. Candidates for graphic design positions should have a portfolio that demonstrates their creativity and originality.   Analytical skills. ,"Many of these workers are employed in specialized design services, publishing, or advertising, public relations, and related services industries.","graphic designers.    Art directors are responsible for the visual style and images in magazines, newspapers, product packaging, and movie and television productions. Craft and fine artists use a variety of materials and techniques to create art for sale and exhibition. Desktop publishers use computer software to design page layouts for items that are printed or published online. Drafters use software to convert the designs of engineers and architects into technical drawings. Industrial designers combine art, business, and engineering to develop the concepts for manufactured products. Special effects artists and animators create images that appear to move and visual effects for various forms of media and entertainment. Technical writers prepare instruction manuals, how-to guides, journal articles, and other supporting documents to communicate complex and technical information more easily. Web developers create and maintain websites. Digital designers develop, create, and test website or interface layout, functions, and navigation for usability."
147,Grounds Maintenance Worker,37690.0,"Grounds maintenance workers install and maintain landscapes, prune trees or shrubs, and do other tasks to ensure that vegetation is attractive, orderly, and safe.  Mow, edge, and fertilize lawns Landscaping workers ",Grounds maintenance workers typically do not need a formal educational credential and are trained on the job. States may require licensing for workers who apply pesticides or fertilizers.   Ability to work at heights.  ,"Most grounds maintenance work is done outdoors in all weather conditions. Some work is seasonal, available mainly in the spring, summer, and fall. The work may be repetitive and physically demanding, requiring frequent bending, kneeling, lifting, or shoveling.","grounds maintenance workers.    Agricultural workers maintain crops and tend livestock. Farmers, ranchers, and other agricultural managers run establishments that produce crops, livestock, and dairy products. Forest and conservation workers perform physical labor to improve the quality of natural areas such as forests, rangelands, and wetlands. Janitors and building cleaners keep many types of buildings clean, sanitary, orderly, and in good condition. Landscape architects design parks and other outdoor spaces. Logging workers harvest forests to provide the raw material for many consumer goods and industrial products. Pest control workers remove insects, rodents, and other pests that infest buildings and surrounding areas."
148,Hand Laborer or Material Mover,36770.0,"Hand laborers and material movers manually move freight, stock, or other materials. Some of these workers feed or remove material to or from machines, clean vehicles, pick up unwanted household goods, and pack materials for moving.  Manually move material from one place to another Cleaners of vehicles and equipment ",There are usually no formal educational requirements to become a hand laborer or material mover. Employers typically require only that applicants be physically able to perform the work.   Customer-service skills. ,"Most hand laborers and material movers work full time. Because materials are shipped around the clock, some workers, especially those in warehousing, work overnight shifts.","hand laborers and material movers.    Construction laborers and helpers perform tasks, such as using, supplying, or holding materials or tools and cleaning work areas and equipment, on construction sites. Delivery truck drivers and driver/sales workers pick up, transport, and drop off packages and small shipments within a local region or urban area. Heavy and tractor-trailer truck drivers transport goods from one location to another. Material moving machine operators use equipment to transport objects. Material recording clerks track product information in order to keep businesses and supply chains on schedule. Water transportation workers operate and maintain vessels that take cargo and people over water."
149,Hazardous Materials Removal Worker,47280.0,"Hazardous materials (hazmat) removal workers identify and dispose of harmful substances, such as asbestos, lead, mold, and radioactive waste. They also neutralize and clean up materials that are flammable, corrosive, or toxic.  Follow safety procedures before, during, and after cleanup Asbestos abatement workers  ","Hazardous materials (hazmat) removal workers typically need a high school diploma and are trained on the job. They must complete training that follows federal, state, and local standards.  Be at least 18 years old Decision-making skills. ","Work environments for hazmat removal workers vary. Completing projects may require night and weekend work. Overtime is common for some workers, particularly for those who respond to emergencies or disasters.","hazardous materials removal workers.    Construction laborers and helpers perform tasks, such as using, supplying, or holding materials or tools and cleaning work areas and equipment, on construction sites. Firefighters control and put out fires and respond to emergencies involving life, property, or the environment. Insulation workers install and replace the materials used to insulate buildings or mechanical systems. Water and wastewater treatment plant and system operators manage a system of machines to transfer or treat water or wastewater."
150,Health and Safety Engineer,103690.0,"Health and safety engineers apply their knowledge of industrial processes, mechanics, psychology, and other disciplines to promote worksite or product safety.  Apply knowledge of current policies, regulations, and industrial processes related to health and safety fire prevention and protection engineers ",Health and safety engineers typically need a bachelor’s degree in engineering or a related field to enter the occupation. Completing internships or cooperative-education programs may be helpful for gaining hands-on experience while in school.   Communication skills. ,"Health and safety engineers typically work in an office setting, and most are full time. They also may need to travel to worksites.","health and safety engineers.    Construction and building inspectors ensure that construction meets building codes and ordinances, zoning regulations, and contract specifications. Fire inspectors detect fire hazards, recommend prevention measures, ensure compliance with state and local fire regulations, and investigate causes of fires. Industrial engineers design, develop, and test integrated systems for managing industrial production processes. Mining and geological engineers design mines to safely and efficiently remove minerals for use in manufacturing and utilities. Occupational health and safety specialists and technicians collect data on, analyze, and design improvements to work environments and procedures."
151,Health Education Specialist,62860.0,Health education specialists teach people about behaviors that promote wellness. They develop strategies to improve the well-being of individuals and communities.  Assess the health needs of individuals and communities healthcare facilities ,Health education specialists typically need at least bachelor’s degree. Some employers require or prefer that health education specialists be certified.   Analytical skills. ,"Health education specialists are employed in a variety of settings, including hospitals, nonprofit organizations, and government agencies. Most work full time.","health education specialists.    Community health workers promote wellness by helping people adopt healthy behaviors. They implement programs and advocate for people who may have limited access to health resources and social services. Dietitians and nutritionists plan and conduct food service or nutritional programs to help people lead healthy lives. Epidemiologists are public health workers who investigate patterns and causes of disease and injury. High school teachers teach academic lessons and various skills that students will need to attend college and to enter the job market. Middle school teachers educate students, typically in sixth through eighth grades. Postsecondary teachers instruct students in a variety of academic subjects beyond the high school level. School counselors help students develop academic and social skills. Career counselors and advisors help people choose a path to employment. Social and human service assistants provide client services in a variety of fields, such as psychology, rehabilitation, and social work. Social workers help people prevent and cope with problems in their everyday lives. Substance abuse, behavioral disorder, and mental health counselors advise people on a range of issues, such as those relating to alcoholism, addictions, or depression. Marriage and family therapists diagnose and treat cognitive, behavioral, or similar disorders in the context of couples and other relationships."
152,Health Information Technologist or Medical Registrar,62990.0,Health information technologists and medical registrars advise organizations on computerized healthcare systems and analyze clinical data.  Help to determine requirements for computerized healthcare systems Health information technologists ,Education requirements for health information technologists and medical registrars vary. Some workers typically need an associate’s degree; others may need a bachelor’s or higher degree. Certification may be required or preferred.   Analytical skills. ,Health information technologists and medical registrars usually work in an office setting and may spend many hours at a computer. Most work full time.,"health information technologists and medical registrars.     Medical assistants complete administrative and clinical tasks, such as scheduling appointments and taking patients’ vital signs. Medical records specialists compile, process, and maintain patient files. Medical transcriptionists use electronic devices to convert voice recordings from physicians and other healthcare workers into formal reports."
153,"Heating, Air Conditioning, or Refrigeration Mechanic and Installer",57300.0,"Heating, air conditioning, and refrigeration mechanics and installers work on heating, ventilation, air conditioning, and refrigeration (HVACR) systems that control the temperature and air quality in buildings.  Install, maintain, and repair HVACR systems HVAC technicians ","Heating, air conditioning, and refrigeration mechanics and installers (HVAC technicians) typically need a postsecondary nondegree award, although some enter the occupation with less education. Once hired, they typically have a lengthy period of on-the-job training to attain competency. HVAC technicians may need a license or certification.   Customer-service skills. ","These workers install and repair systems in homes, schools, hospitals, and other buildings. They may need to work in cramped spaces, outdoors, or in extreme temperatures. Most work full time, and schedules may vary.","heating, air conditioning, and refrigeration mechanics and installers.    Boilermakers assemble, install, maintain, and repair boilers, closed vats, and other large vessels or containers that hold liquids and gases. Electricians install, maintain, and repair electrical power, communications, lighting, and control systems. Plumbers, pipefitters, and steamfitters install and repair piping fixtures and systems. Sheet metal workers fabricate or install products that are made from thin metal sheets. Solar photovoltaic (PV) installers assemble, set up, and maintain rooftop or other systems that convert sunlight into energy. General maintenance and repair workers fix and maintain machines, mechanical equipment, and buildings. Wind turbine service technicians maintain and repair wind turbines. Stationary engineers and boiler operators control stationary engines, boilers, or other mechanical equipment."
154,Heavy or Tractor-trailer Truck Driver,54320.0,"Heavy and tractor-trailer truck drivers transport goods from one location to another. Most tractor-trailer drivers are long-haul drivers and operate trucks with a total weight exceeding 26,000 pounds for the vehicle, passengers, and cargo. These drivers deliver goods over intercity routes that sometimes span several states.  Drive long distances owner-operators ",Heavy and tractor-trailer truck drivers usually have a high school diploma and attend a professional truck driving school. They must have a commercial driver’s license (CDL).   Hand-eye coordination. ,Working as a long-haul truck driver is a lifestyle choice because these drivers can be away from home for days or weeks at a time.,"heavy and tractor-trailer truck drivers.    Bus drivers transport people between various places. Delivery truck drivers and driver/sales workers pick up, transport, and drop off packages and small shipments within a local region or urban area. Hand laborers and material movers manually move freight, stock, or other materials. Material recording clerks track product information in order to keep businesses and supply chains on schedule. Railroad workers ensure that passenger and freight trains operate safely. They may drive trains, coordinate the activities of the trains, or control signals and switches in the rail yard. Water transportation workers operate and maintain vessels that take cargo and people over water."
155,Heavy Vehicle or Mobile Equipment Service Technician,61000.0,"Heavy vehicle and mobile equipment service technicians, also called mechanics, inspect, maintain, and repair vehicles and machinery used in construction, farming, rail transportation, and other industries.  Consult equipment operating manuals, blueprints, and drawings mechanics ","Most heavy vehicle and mobile equipment service technicians have a high school diploma or equivalent. Because vehicle and equipment technology is increasingly sophisticated and computerized, some employers prefer to hire service technicians who have completed a formal training program at a postsecondary institution.   Dexterity. ","Service technicians usually work indoors in noisy repair shops. They often lift heavy parts and tools, handle greasy and dirty equipment, and stand or lie in uncomfortable positions. Most service technicians work full time, and many work evenings and weekends.","heavy vehicle and mobile equipment service technicians.    Aircraft and avionics equipment mechanics and technicians install, test, adjust, and repair equipment and systems in aircraft. Automotive body and glass repairers restore, refinish, and replace vehicle bodies and frames, windshields, and window glass. Automotive service technicians and mechanics inspect, maintain, and repair cars and light trucks. Diesel service technicians and mechanics inspect, repair, and overhaul buses, trucks, or any vehicle with a diesel engine. Industrial machinery mechanics, machinery maintenance workers, and millwrights install, maintain, and repair factory equipment and other industrial machinery. Small engine mechanics inspect, service, and repair motorized power equipment. Water transportation workers operate and maintain vessels that take cargo and people over water."
156,High School Teacher,65220.0,High school teachers help prepare students for life after graduation. They teach academic lessons and various skills that students will need to attend college or to enter the job market.  Plan lessons and instruct their students in the subject they teach  ,"High school teachers typically must have at least a bachelor’s degree. In addition, public school teachers must have a state-issued certification or license.  A bachelor’s degree with a minimum grade point average Communication skills. ",High school teachers work in schools. They work during school hours but may also work evenings and weekends to prepare lessons and grade papers. Most do not teach during the summer.,"high school teachers.    Career and technical education teachers instruct students in various technical and vocational subjects, such as auto repair, healthcare, and culinary arts. Elementary, middle, and high school principals oversee all school operations, including daily school activities. Kindergarten and elementary school teachers instruct young students in basic subjects in order to prepare them for future schooling. Middle school teachers educate students, typically in sixth through eighth grades. Postsecondary teachers instruct students in a variety of academic subjects beyond the high school level. Preschool teachers educate and care for children younger than age 5 who have not yet entered kindergarten. School counselors help students develop academic and social skills. Career counselors and advisors help people choose a path to employment. Special education teachers work with students who have a wide range of learning, mental, emotional, and physical disabilities. Teacher assistants work with a licensed teacher to give students additional attention and instruction. Adult basic and secondary education and ESL (English as a Second Language) teachers instruct adults in fundamental skills, such as reading and speaking English. They also help students earn their high school equivalency credential."
157,Historian,72890.0,"Historians research, analyze, interpret, and write about the past by studying historical documents and sources.  Gather historical data from various sources, including archives, books, and artifacts  ","Historians typically need at least a master’s degree to enter the occupation. Those with a bachelor’s degree in history may qualify for some entry-level positions, but most will find jobs in different fields.   Analytical skills. ",Historians must travel to carry out research. Most work full time.,"historians.    Anthropologists and archeologists study the origin, development, and behavior of humans. Archivists and curators oversee institutions’ collections, such as of historical items or of artwork. Museum technicians and conservators prepare and restore items in those collections. Economists conduct research, prepare reports, and evaluate issues related to monetary and fiscal policy. They also may collect and analyze statistical data. Editors plan, review, and revise content for publication. Geographers study the Earth and the distribution of its land, features, and inhabitants. High school teachers teach academic lessons and various skills that students will need to attend college and to enter the job market. Political scientists study the origin, development, and operation of political systems. Postsecondary teachers instruct students in a variety of academic subjects beyond the high school level. Sociologists study society and social behavior by examining the groups, cultures, social institutions, and processes that develop when people interact and work together. Writers and authors develop written content for various types of media."
158,Home Health or Personal Care Aide,33530.0,"Home health and personal care aides monitor the condition of people with disabilities or chronic illnesses and help them with daily living activities. They often help older adults who need assistance. Under the direction of a nurse or other healthcare practitioner, home health aides may be allowed to give a client medication or to check the client’s vital signs.  Assist clients in their daily personal tasks, such as bathing or dressing Home health aides ","Home health and personal care aides typically need a high school diploma or equivalent, but some positions do not require it. Those working in certified home health or hospice agencies must complete formal training and pass a standardized test.   Detail oriented. ","Home health and personal care aides work in a variety of settings, including clients’ homes, group homes, and day services programs. Most aides work full time, although part-time work is common. Work schedules may vary.","home health and personal care aides.    Childcare workers attend to children's needs while helping to foster early development. Licensed practical nurses (LPNs) and licensed vocational nurses (LVNs) provide basic medical care. Medical assistants complete administrative and clinical tasks, such as scheduling appointments and taking patients’ vital signs. Nursing assistants provide basic care and help patients with activities of daily living. Orderlies transport patients and clean treatment areas. Occupational therapy assistants and aides help occupational therapists provide treatments and procedures to clients, or they do routine tasks such as preparing treatment rooms. Physical therapist assistants and aides are supervised by physical therapists to help patients regain movement and manage pain after injuries and illnesses. Psychiatric technicians and aides care for people who have mental conditions or developmental disabilities. Registered nurses (RNs) provide and coordinate patient care and educate patients and the public about various health conditions. Social and human service assistants provide client services in a variety of fields, such as psychology, rehabilitation, and social work."
159,Human Resources Manager,136350.0,"Human resources managers plan, coordinate, and direct the administrative functions of an organization. They oversee the recruiting, interviewing, and hiring of new staff; consult with top executives on strategic planning; and serve as a link between an organization’s management and its employees.  Plan and coordinate an organization’s workforce to best use employees’ talents Labor relations directors ","Candidates typically need a combination of education and several years of related work experience to become a human resources manager. Although most positions require a bachelor’s degree, some require a master’s degree.   Communication skills. ","Human resources managers are employed in nearly every industry. They work in offices, and most work full time during regular business hours. Some travel to attend professional meetings or to recruit employees.","human resources managers.    Administrative services and facilities managers plan, direct, and coordinate activities that help an organization run efficiently. Compensation and benefits managers plan, develop, and oversee programs to pay employees. Compensation, benefits, and job analysis specialists oversee wage and nonwage programs that an organization provides to its employees in return for their work. They also evaluate position descriptions to determine details such as classification and salary. Human resources specialists recruit, screen, and interview job applicants and place newly hired workers in jobs. They also may handle compensation and benefits, training, and employee relations. Labor relations specialists resolve employee-management disputes and negotiate labor contracts. Top executives plan strategies and policies to ensure that an organization meets its goals. Training and development managers plan, coordinate, and direct skills- and knowledge-enhancement programs for an organization’s staff. Training and development specialists plan and administer programs that improve the skills and knowledge of their employees."
160,Human Resources Specialist,67650.0,"Human resources specialists recruit, screen, and interview job applicants and place newly hired workers in jobs. They also may handle compensation and benefits, training, and employee relations.  Consult with employers to identify hiring needs Human resources generalists ",Human resources specialists typically need a bachelor’s degree to enter the occupation.   Communication skills.  ,"Human resources specialists generally work in office settings. Some, particularly recruitment specialists, travel to attend job fairs, visit college campuses, and meet with applicants. Most human resources specialists work full time during regular business hours. Some work more than 40 hours per week.","human resources specialists.    Compensation and benefits managers plan, develop, and oversee programs to pay employees. Compensation, benefits, and job analysis specialists oversee wage and nonwage programs that an organization provides to its employees in return for their work. They also evaluate position descriptions to determine details such as classification and salary. Customer service representatives interact with customers to handle complaints, process orders, and answer questions. Human resources managers plan, coordinate, and direct the administrative functions of an organization. Insurance sales agents contact potential customers and sell one or more types of insurance. Labor relations specialists resolve employee-management disputes and negotiate labor contracts. Public relations specialists create and maintain a positive public image for the clients they represent. Tax examiners and collectors, and revenue agents determine how much is owed in taxes and collect tax from individuals and businesses on behalf of the government. Training and development managers plan, coordinate, and direct skills- and knowledge-enhancement programs for an organization’s staff. Training and development specialists plan and administer programs that improve the skills and knowledge of their employees."
161,Hydrologist,88770.0,"Hydrologists study water and how it moves across and through the Earth’s crust. They research the distribution, circulation, and physical properties of surface water and groundwater. They also study the form and intensity of precipitation and its rate of evaporation into the atmosphere, infiltration into soil, or return to the ocean.  Measure streamflow, volume, and other water-cycle elements of bodies of water  ","To enter the occupation, hydrologists typically need a bachelor’s degree in geology, hydrology, or a related field. However, some employers prefer to hire candidates who have a master’s degree.   Analytical skills. ","Hydrologists typically work in an office setting and in the field. They may need to travel to lakes, streams, and other locations and work outdoors in all types of weather. Most hydrologists work full time, and some work more than 40 hours a week.","hydrologists.    Atmospheric scientists study, report on, and forecast the weather and climate. Civil engineers plan, design, and supervise the construction and maintenance of building and infrastructure projects. Conservation scientists and foresters manage the land quality of forests, parks, rangelands, and other natural resources. Environmental engineers use engineering disciplines in developing solutions to problems of planetary health. Environmental science and protection technicians monitor the environment and investigate sources of pollution and contamination, including those affecting public health. Environmental scientists and specialists conduct research or investigations to protect the environment or human health. Geoscientists study the physical aspects of the Earth. Agricultural engineers solve problems concerning power supplies, machine efficiency, the use of structures and facilities, pollution and environmental issues, and the storage and processing of agricultural products. Geological and hydrologic technicians support scientists and engineers in exploring, extracting, and monitoring natural resources. Mining and geological engineers design mines to safely and efficiently remove minerals for use in manufacturing and utilities."
162,Industrial Designer,76250.0,"Industrial designers develop the concepts for manufactured products, such as cars, home appliances, and toys. They combine art, business, and engineering to make products that people use every day. Industrial designers consider the function, aesthetics, production costs, and usability of products when developing new product concepts.  Consult with clients to determine requirements for designs user interface designers ",Industrial designers typically need a bachelor's degree to enter the occupation. They also need an electronic portfolio with examples of their design projects.   Analytical skills. ,"Industrial designers work in a variety of industries. Although industrial designers work primarily in offices, they may travel to testing facilities, design centers, clients’ exhibit sites, users’ homes or workplaces, and places where the product is manufactured.","industrial designers.    Architects plan and design houses, factories, office buildings, and other structures. Desktop publishers use computer software to design page layouts for items that are printed or published online. Drafters use software to convert the designs of engineers and architects into technical drawings. Graphic designers create visual concepts, using computer software or by hand, to communicate ideas that inspire, inform, and captivate consumers. Industrial engineers design, develop, and test integrated systems for managing industrial production processes. Interior designers make indoor spaces functional, safe, and beautiful by determining space requirements and selecting essential and decorative items. Art directors are responsible for the visual style and images in magazines, newspapers, product packaging, and movie and television productions. Fashion designers create clothing, accessories, and footwear. Software developers design computer applications or programs. Software quality assurance analysts and testers identify problems with applications or programs and report defects."
163,Industrial Engineering Technologist or Technician,62610.0,"Industrial engineering technologists and technicians help engineers solve problems affecting manufacturing layout or production. They prepare machinery and equipment plans, design workflows, conduct statistical production studies, and analyze production costs.  Suggest revisions to operation methods, material handling, or equipment layout Manufacturing engineering technologists and technicians ","Industrial engineering technologists and technicians typically need an associate’s degree or a postsecondary certificate to enter the occupation. Community colleges and technical institutes generally offer associate’s degree programs, and vocational–technical schools offer certificate programs.   Analytical skills. ",Most industrial engineering technologists and technicians work in manufacturing industries. Most work full time.,"industrial engineering technologists and technicians.    Calibration technologists and technicians inspect, adjust, and test measurement devices against standards, such as those used in manufacturing, healthcare, and other industries. Cost estimators collect and analyze data in order to assess the time, money, materials, and labor required to make a product or provide a service. Health and safety engineers apply their knowledge of industrial processes, mechanics, psychology, and other disciplines to promote worksite or product safety. Industrial engineers design, develop, and test integrated systems for managing industrial production processes. Logisticians analyze and coordinate an organization’s supply chain. Quality control inspectors examine products and materials for defects or deviations from specifications."
164,Industrial Engineer,99380.0,"Industrial engineers devise efficient systems that integrate workers, machines, materials, information, and energy to make a product or provide a service. They assess workers, quality control, logistics, and other factors involved in coordinating production.  Evaluate manufacturing, delivery, customer experience, or other systems and identify ways to improve productivity and quality Human factors engineers ","Industrial engineers typically need a bachelor’s degree in industrial engineering or a related field, such as mechanical or electrical engineering.   Communication skills.  ","Industrial engineers work in a variety of settings, such as offices and manufacturing plants. Most work full time, and some work more than 40 hours per week.","industrial engineers.    Architectural and engineering managers plan, direct, and coordinate activities in the fields of architecture and engineering. Calibration technologists and technicians inspect, adjust, and test measurement devices against standards, such as those used in manufacturing, healthcare, and other industries. Cost estimators collect and analyze data in order to assess the time, money, materials, and labor required to make a product or provide a service. Health and safety engineers apply their knowledge of industrial processes, mechanics, psychology, and other disciplines to promote worksite or product safety. Industrial engineering technologists and technicians help engineers solve problems affecting manufacturing layout or production. Industrial production managers oversee the operations of manufacturing and related plants. Logisticians analyze and coordinate an organization’s supply chain. Management analysts recommend ways to improve an organization’s efficiency. Occupational health and safety specialists and technicians collect data on, analyze, and design improvements to work environments and procedures. Quality control inspectors examine products and materials for defects or deviations from specifications."
165,"Industrial Machinery Mechanic, Machinery Maintenance Worker, or Millwright",61170.0,"Industrial machinery mechanics and machinery maintenance workers maintain and repair factory equipment and other industrial machinery, such as conveying systems, production machinery, and packaging equipment. Millwrights install, dismantle, repair, reassemble, and move machinery in factories, power plants, and construction sites.  Read technical manuals to understand equipment and controls Industrial machinery mechanics ","Industrial machinery mechanics, machinery maintenance workers, and millwrights typically need a high school diploma. Industrial machinery mechanics and machinery maintenance workers also usually need a year or more of training after high school.  Minimum age of 18 Manual dexterity.  ","Workers in this occupation must follow safety precautions and use protective equipment, such as hardhats, safety glasses, and hearing protectors. Most work full time in manufacturing facilities. However, they may be on call and work night or weekend shifts. Overtime is common.","industrial machinery mechanics, machinery maintenance workers, and millwrights.    Calibration technologists and technicians inspect, adjust, and test measurement devices against standards, such as those used in manufacturing, healthcare, and other industries. Electrical engineers design, develop, test, and supervise the manufacture of electrical equipment. Electricians install, maintain, and repair electrical power, communications, lighting, and control systems. General maintenance and repair workers fix and maintain machines, mechanical equipment, and buildings. Machinists and tool and die makers set up and operate equipment to produce precision metal parts, instruments, and tools. Plumbers, pipefitters, and steamfitters install and repair piping fixtures and systems. Welders, cutters, solderers, and brazers use hand-held or remotely controlled equipment to join, repair, or cut metal parts and products. Wind turbine service technicians maintain and repair wind turbines. Medical equipment repairers install, maintain, and repair patient care equipment."
166,Industrial Production Manager,116970.0,"Industrial production managers oversee the operations of manufacturing and related plants. They coordinate, plan, and direct activities involved in creating a range of goods, such as cars, computer equipment, and paper products.  Decide how best to use a plant’s workers and equipment to meet production goals plant managers ",Industrial production managers typically need a bachelor’s degree and several years of related work experience.   Business skills.  ,"Most industrial production managers work full time, and some work more than 40 hours per week.","industrial production managers.    Advertising, promotions, and marketing managers plan programs to generate interest in products or services. Architectural and engineering managers plan, direct, and coordinate activities in the fields of architecture and engineering. Calibration technologists and technicians inspect, adjust, and test measurement devices against standards, such as those used in manufacturing, healthcare, and other industries. Construction managers plan, coordinate, budget, and supervise construction projects from start to finish. Health and safety engineers apply their knowledge of industrial processes, mechanics, psychology, and other disciplines to promote worksite or product safety. Industrial engineers design, develop, and test integrated systems for managing industrial production processes. Management analysts recommend ways to improve an organization’s efficiency. Mechanical engineers design, develop, build, and test mechanical and thermal sensors and devices. Operations research analysts use mathematics and logic to help solve complex issues. Sales managers plan, direct, or coordinate the delivery of a product or service to the customer. Top executives plan strategies and policies to ensure that an organization meets its goals."
167,Information Clerk,40540.0,"Information clerks do routine clerical tasks such as maintaining records, collecting data, and providing information to customers.  Prepare routine reports, claims, bills, or orders Correspondence clerks ",Information clerks typically need a high school diploma and learn their skills on the job.   Communication skills. ,"Although information clerks are employed in nearly every industry, many work in government agencies, hotels, and healthcare facilities. Most information clerks work full time.","information clerks.    Bookkeeping, accounting, and auditing clerks compute, classify, and record data to help organizations keep complete and accurate financial records. Customer service representatives interact with customers to handle complaints, process orders, and answer questions. Financial clerks do administrative work, help customers, and carry out transactions that involve money. General office clerks perform a variety of clerical tasks, including answering telephones, typing documents, and filing records. Human resources specialists recruit, screen, and interview job applicants and place newly hired workers in jobs. They also may handle compensation and benefits, training, and employee relations. Lodging managers ensure that guests have a pleasant experience at an accommodations facility. They also plan, direct, or coordinate activities to ensure that the facility is efficient and profitable. Material recording clerks track product information in order to keep businesses and supply chains on schedule. Receptionists do tasks such as answering phones, receiving visitors, and providing information about their organization to the public. Medical records specialists compile, process, and maintain patient files. Secretaries and administrative assistants do routine clerical and organizational tasks."
168,Information Security Analyst,120360.0,Information security analysts plan and carry out security measures to protect an organization’s computer networks and systems.  Monitor their organization’s networks for security breaches and investigate when one occurs  ,"Information security analysts typically need a bachelor’s degree in a computer science field, along with related work experience. Employers may prefer to hire analysts who have professional certification.   Analytical skills ","Most information security analysts work for computer companies, consulting firms, or business and financial companies.","information security analysts.    Computer and information research scientists design innovative uses for new and existing computing technology. Computer and information systems managers plan, coordinate, and direct computer-related activities in an organization. Computer network architects design and implement data communication networks, including local area networks (LANs), wide area networks (WANs), and intranets. Computer programmers write, modify, and test code and scripts that allow computer software and applications to function properly. Computer support specialists maintain computer networks and provide technical help to computer users. Computer systems analysts study an organization’s current computer systems and design ways to improve efficiency. Database administrators and architects create or organize systems to store and secure data. Network and computer systems administrators install, configure, and maintain organizations’ computer networks and systems. Software developers design computer applications or programs. Software quality assurance analysts and testers identify problems with applications or programs and report defects. Web developers create and maintain websites. Digital designers develop, create, and test website or interface layout, functions, and navigation for usability."
169,Instructional Coordinator,74620.0,"Instructional coordinators oversee school curriculums and teaching standards. They develop educational material, implement it with teachers and principals, and assess its effectiveness.  Develop and implement the curriculums curriculum specialists ","Instructional coordinators typically need a master’s degree and related work experience, such as in teaching or school administration, to enter the occupation. Coordinators in public schools may be required to have a state-issued license.   Analytical skills. ","Most instructional coordinators work in elementary and secondary schools, colleges, professional schools, or educational support services or for state and local governments. They typically work year round.","instructional coordinators.    Elementary, middle, and high school principals oversee all school operations, including daily school activities. High school teachers teach academic lessons and various skills that students will need to attend college and to enter the job market. Kindergarten and elementary school teachers instruct young students in basic subjects in order to prepare them for future schooling. Librarians and library media specialists help people find information and conduct research for personal and professional use. Middle school teachers educate students, typically in sixth through eighth grades. Postsecondary teachers instruct students in a variety of academic subjects beyond the high school level. Preschool teachers educate and care for children younger than age 5 who have not yet entered kindergarten. School counselors help students develop academic and social skills. Career counselors and advisors help people choose a path to employment. Special education teachers work with students who have a wide range of learning, mental, emotional, and physical disabilities. Teacher assistants work with a licensed teacher to give students additional attention and instruction. Training and development specialists plan and administer programs that improve the skills and knowledge of their employees. Training and development managers plan, coordinate, and direct skills- and knowledge-enhancement programs for an organization’s staff. Adult basic and secondary education and ESL (English as a Second Language) teachers instruct adults in fundamental skills, such as reading and speaking English. They also help students earn their high school equivalency credential. Career and technical education teachers instruct students in various technical and vocational subjects, such as auto repair, healthcare, and culinary arts."
170,Insulation Worker,49350.0,"Insulation workers, also called insulators, install and replace the materials used to insulate buildings or mechanical systems.  Remove and dispose of old insulation insulators ","Most floor, ceiling, and wall insulators learn their trade on the job. Many mechanical insulators complete an apprenticeship program after earning a high school diploma or equivalent.   Ability to work at heights. ","Insulators generally work indoors. Mechanical insulators work both indoors and outdoors, sometimes in extreme temperatures. They spend most of their workday standing, bending, or kneeling, often in confined spaces.","insulation workers.    Carpenters construct, repair, and install building frameworks and structures made from wood and other materials. Construction laborers and helpers perform tasks, such as using, supplying, or holding materials or tools and cleaning work areas and equipment, on construction sites. Drywall and ceiling tile installers hang wallboard and install ceiling tile inside buildings. Tapers prepare the wallboard for painting. Roofers replace, repair, and install the roofs of buildings. Boilermakers assemble, install, maintain, and repair boilers, closed vats, and other large vessels or containers that hold liquids and gases. Hazardous materials removal workers identify and dispose of harmful substances such as asbestos, lead, and radioactive waste. Masonry workers use bricks, concrete and concrete blocks, and natural and manmade stones to build structures."
